Company,Sector,Year,Risk_Category,Mention_Count,Evidence_Snippet
Barclays PLC,Financials,2021,Societal & Systemic Harms,0,
Barclays PLC,Financials,2021,Security & Malicious Use,0,
Barclays PLC,Financials,2021,Workforce & Economic Displacement,0,
Barclays PLC,Financials,2021,Critical Business & Reliability,0,
Barclays PLC,Financials,2021,Legal & Regulatory Compliance,1,Mock excerpt from Barclays PLC 2021 AR: We recognize the potential for legal & regulatory compliance to materially impact operations...
Barclays PLC,Financials,2021,Frontier Signal (Loss of Control),0,
Barclays PLC,Financials,2022,Societal & Systemic Harms,0,
Barclays PLC,Financials,2022,Security & Malicious Use,0,
Barclays PLC,Financials,2022,Workforce & Economic Displacement,2,Mock excerpt from Barclays PLC 2022 AR: We recognize the potential for workforce & economic displacement to materially impact operations...
Barclays PLC,Financials,2022,Critical Business & Reliability,1,Mock excerpt from Barclays PLC 2022 AR: We recognize the potential for critical business & reliability to materially impact operations...
Barclays PLC,Financials,2022,Legal & Regulatory Compliance,2,Mock excerpt from Barclays PLC 2022 AR: We recognize the potential for legal & regulatory compliance to materially impact operations...
Barclays PLC,Financials,2022,Frontier Signal (Loss of Control),0,
Barclays PLC,Financials,2023,Societal & Systemic Harms,3,Mock excerpt from Barclays PLC 2023 AR: We recognize the potential for societal & systemic harms to materially impact operations...
Barclays PLC,Financials,2023,Security & Malicious Use,11,Mock excerpt from Barclays PLC 2023 AR: We recognize the potential for security & malicious use to materially impact operations...
Barclays PLC,Financials,2023,Workforce & Economic Displacement,2,Mock excerpt from Barclays PLC 2023 AR: We recognize the potential for workforce & economic displacement to materially impact operations...
Barclays PLC,Financials,2023,Critical Business & Reliability,2,Mock excerpt from Barclays PLC 2023 AR: We recognize the potential for critical business & reliability to materially impact operations...
Barclays PLC,Financials,2023,Legal & Regulatory Compliance,14,Mock excerpt from Barclays PLC 2023 AR: We recognize the potential for legal & regulatory compliance to materially impact operations...
Barclays PLC,Financials,2023,Frontier Signal (Loss of Control),1,Mock excerpt from Barclays PLC 2023 AR: We recognize the potential for frontier signal (loss of control) to materially impact operations...
Barclays PLC,Financials,2024,Societal & Systemic Harms,6,Mock excerpt from Barclays PLC 2024 AR: We recognize the potential for societal & systemic harms to materially impact operations...
Barclays PLC,Financials,2024,Security & Malicious Use,15,Mock excerpt from Barclays PLC 2024 AR: We recognize the potential for security & malicious use to materially impact operations...
Barclays PLC,Financials,2024,Workforce & Economic Displacement,4,Mock excerpt from Barclays PLC 2024 AR: We recognize the potential for workforce & economic displacement to materially impact operations...
Barclays PLC,Financials,2024,Critical Business & Reliability,2,Mock excerpt from Barclays PLC 2024 AR: We recognize the potential for critical business & reliability to materially impact operations...
Barclays PLC,Financials,2024,Legal & Regulatory Compliance,10,Mock excerpt from Barclays PLC 2024 AR: We recognize the potential for legal & regulatory compliance to materially impact operations...
Barclays PLC,Financials,2024,Frontier Signal (Loss of Control),0,
Barclays PLC,Financials,2025,Societal & Systemic Harms,5,Mock excerpt from Barclays PLC 2025 AR: We recognize the potential for societal & systemic harms to materially impact operations...
Barclays PLC,Financials,2025,Security & Malicious Use,6,Mock excerpt from Barclays PLC 2025 AR: We recognize the potential for security & malicious use to materially impact operations...
Barclays PLC,Financials,2025,Workforce & Economic Displacement,6,Mock excerpt from Barclays PLC 2025 AR: We recognize the potential for workforce & economic displacement to materially impact operations...
Barclays PLC,Financials,2025,Critical Business & Reliability,6,Mock excerpt from Barclays PLC 2025 AR: We recognize the potential for critical business & reliability to materially impact operations...
Barclays PLC,Financials,2025,Legal & Regulatory Compliance,18,Mock excerpt from Barclays PLC 2025 AR: We recognize the potential for legal & regulatory compliance to materially impact operations...
Barclays PLC,Financials,2025,Frontier Signal (Loss of Control),0,
HSBC Holdings,Financials,2021,Societal & Systemic Harms,0,
HSBC Holdings,Financials,2021,Security & Malicious Use,2,Mock excerpt from HSBC Holdings 2021 AR: We recognize the potential for security & malicious use to materially impact operations...
HSBC Holdings,Financials,2021,Workforce & Economic Displacement,0,
HSBC Holdings,Financials,2021,Critical Business & Reliability,0,
HSBC Holdings,Financials,2021,Legal & Regulatory Compliance,0,
HSBC Holdings,Financials,2021,Frontier Signal (Loss of Control),0,
HSBC Holdings,Financials,2022,Societal & Systemic Harms,1,Mock excerpt from HSBC Holdings 2022 AR: We recognize the potential for societal & systemic harms to materially impact operations...
HSBC Holdings,Financials,2022,Security & Malicious Use,1,Mock excerpt from HSBC Holdings 2022 AR: We recognize the potential for security & malicious use to materially impact operations...
HSBC Holdings,Financials,2022,Workforce & Economic Displacement,0,
HSBC Holdings,Financials,2022,Critical Business & Reliability,0,
HSBC Holdings,Financials,2022,Legal & Regulatory Compliance,1,Mock excerpt from HSBC Holdings 2022 AR: We recognize the potential for legal & regulatory compliance to materially impact operations...
HSBC Holdings,Financials,2022,Frontier Signal (Loss of Control),0,
HSBC Holdings,Financials,2023,Societal & Systemic Harms,8,Mock excerpt from HSBC Holdings 2023 AR: We recognize the potential for societal & systemic harms to materially impact operations...
HSBC Holdings,Financials,2023,Security & Malicious Use,5,Mock excerpt from HSBC Holdings 2023 AR: We recognize the potential for security & malicious use to materially impact operations...
HSBC Holdings,Financials,2023,Workforce & Economic Displacement,3,Mock excerpt from HSBC Holdings 2023 AR: We recognize the potential for workforce & economic displacement to materially impact operations...
HSBC Holdings,Financials,2023,Critical Business & Reliability,4,Mock excerpt from HSBC Holdings 2023 AR: We recognize the potential for critical business & reliability to materially impact operations...
HSBC Holdings,Financials,2023,Legal & Regulatory Compliance,6,Mock excerpt from HSBC Holdings 2023 AR: We recognize the potential for legal & regulatory compliance to materially impact operations...
HSBC Holdings,Financials,2023,Frontier Signal (Loss of Control),0,
HSBC Holdings,Financials,2024,Societal & Systemic Harms,5,Mock excerpt from HSBC Holdings 2024 AR: We recognize the potential for societal & systemic harms to materially impact operations...
HSBC Holdings,Financials,2024,Security & Malicious Use,12,Mock excerpt from HSBC Holdings 2024 AR: We recognize the potential for security & malicious use to materially impact operations...
HSBC Holdings,Financials,2024,Workforce & Economic Displacement,3,Mock excerpt from HSBC Holdings 2024 AR: We recognize the potential for workforce & economic displacement to materially impact operations...
HSBC Holdings,Financials,2024,Critical Business & Reliability,3,Mock excerpt from HSBC Holdings 2024 AR: We recognize the potential for critical business & reliability to materially impact operations...
HSBC Holdings,Financials,2024,Legal & Regulatory Compliance,13,Mock excerpt from HSBC Holdings 2024 AR: We recognize the potential for legal & regulatory compliance to materially impact operations...
HSBC Holdings,Financials,2024,Frontier Signal (Loss of Control),0,
HSBC Holdings,Financials,2025,Societal & Systemic Harms,4,Mock excerpt from HSBC Holdings 2025 AR: We recognize the potential for societal & systemic harms to materially impact operations...
HSBC Holdings,Financials,2025,Security & Malicious Use,16,Mock excerpt from HSBC Holdings 2025 AR: We recognize the potential for security & malicious use to materially impact operations...
HSBC Holdings,Financials,2025,Workforce & Economic Displacement,9,Mock excerpt from HSBC Holdings 2025 AR: We recognize the potential for workforce & economic displacement to materially impact operations...
HSBC Holdings,Financials,2025,Critical Business & Reliability,7,Mock excerpt from HSBC Holdings 2025 AR: We recognize the potential for critical business & reliability to materially impact operations...
HSBC Holdings,Financials,2025,Legal & Regulatory Compliance,6,Mock excerpt from HSBC Holdings 2025 AR: We recognize the potential for legal & regulatory compliance to materially impact operations...
HSBC Holdings,Financials,2025,Frontier Signal (Loss of Control),0,
Tesco PLC,Consumer Staples,2021,Societal & Systemic Harms,0,
Tesco PLC,Consumer Staples,2021,Security & Malicious Use,0,
Tesco PLC,Consumer Staples,2021,Workforce & Economic Displacement,0,
Tesco PLC,Consumer Staples,2021,Critical Business & Reliability,0,
Tesco PLC,Consumer Staples,2021,Legal & Regulatory Compliance,0,
Tesco PLC,Consumer Staples,2021,Frontier Signal (Loss of Control),0,
Tesco PLC,Consumer Staples,2022,Societal & Systemic Harms,0,
Tesco PLC,Consumer Staples,2022,Security & Malicious Use,0,
Tesco PLC,Consumer Staples,2022,Workforce & Economic Displacement,1,Mock excerpt from Tesco PLC 2022 AR: We recognize the potential for workforce & economic displacement to materially impact operations...
Tesco PLC,Consumer Staples,2022,Critical Business & Reliability,0,
Tesco PLC,Consumer Staples,2022,Legal & Regulatory Compliance,0,
Tesco PLC,Consumer Staples,2022,Frontier Signal (Loss of Control),1,Mock excerpt from Tesco PLC 2022 AR: We recognize the potential for frontier signal (loss of control) to materially impact operations...
Tesco PLC,Consumer Staples,2023,Societal & Systemic Harms,1,Mock excerpt from Tesco PLC 2023 AR: We recognize the potential for societal & systemic harms to materially impact operations...
Tesco PLC,Consumer Staples,2023,Security & Malicious Use,2,Mock excerpt from Tesco PLC 2023 AR: We recognize the potential for security & malicious use to materially impact operations...
Tesco PLC,Consumer Staples,2023,Workforce & Economic Displacement,2,Mock excerpt from Tesco PLC 2023 AR: We recognize the potential for workforce & economic displacement to materially impact operations...
Tesco PLC,Consumer Staples,2023,Critical Business & Reliability,3,Mock excerpt from Tesco PLC 2023 AR: We recognize the potential for critical business & reliability to materially impact operations...
Tesco PLC,Consumer Staples,2023,Legal & Regulatory Compliance,2,Mock excerpt from Tesco PLC 2023 AR: We recognize the potential for legal & regulatory compliance to materially impact operations...
Tesco PLC,Consumer Staples,2023,Frontier Signal (Loss of Control),1,Mock excerpt from Tesco PLC 2023 AR: We recognize the potential for frontier signal (loss of control) to materially impact operations...
Tesco PLC,Consumer Staples,2024,Societal & Systemic Harms,1,Mock excerpt from Tesco PLC 2024 AR: We recognize the potential for societal & systemic harms to materially impact operations...
Tesco PLC,Consumer Staples,2024,Security & Malicious Use,1,Mock excerpt from Tesco PLC 2024 AR: We recognize the potential for security & malicious use to materially impact operations...
Tesco PLC,Consumer Staples,2024,Workforce & Economic Displacement,5,Mock excerpt from Tesco PLC 2024 AR: We recognize the potential for workforce & economic displacement to materially impact operations...
Tesco PLC,Consumer Staples,2024,Critical Business & Reliability,5,Mock excerpt from Tesco PLC 2024 AR: We recognize the potential for critical business & reliability to materially impact operations...
Tesco PLC,Consumer Staples,2024,Legal & Regulatory Compliance,1,Mock excerpt from Tesco PLC 2024 AR: We recognize the potential for legal & regulatory compliance to materially impact operations...
Tesco PLC,Consumer Staples,2024,Frontier Signal (Loss of Control),0,
Tesco PLC,Consumer Staples,2025,Societal & Systemic Harms,2,Mock excerpt from Tesco PLC 2025 AR: We recognize the potential for societal & systemic harms to materially impact operations...
Tesco PLC,Consumer Staples,2025,Security & Malicious Use,2,Mock excerpt from Tesco PLC 2025 AR: We recognize the potential for security & malicious use to materially impact operations...
Tesco PLC,Consumer Staples,2025,Workforce & Economic Displacement,1,Mock excerpt from Tesco PLC 2025 AR: We recognize the potential for workforce & economic displacement to materially impact operations...
Tesco PLC,Consumer Staples,2025,Critical Business & Reliability,2,Mock excerpt from Tesco PLC 2025 AR: We recognize the potential for critical business & reliability to materially impact operations...
