filing_id,company_name,company_slug,company_ticker,company_lei,filing_type_code,filing_type_name,release_datetime,filing_date,language,source,source_filing_id,fiscal_year,fiscal_period,markdown_filename,market_segment,market_segment_refined,cni_sector_primary,cni_sector,isic_code,isic_name,isic_sector
3385453,1SPATIAL PLC,1spatial-plc,SPA,213800VG7OZYQES6PN67,10-K,Annual Report,2022-04-27T06:00:11+00:00,2022-04-27,English,FCA,4349825,,,markdown/1spatial-plc/10-k_2022-04-27_3385453.md,AIM,AIM,Government,Government,6219,Other computer programming activities,Other computer programming activities
10910330,3i Group PLC,3i-group-plc,III,35GDVHRBMFE7NWATNM84,10-K,Annual Report,2020-05-07T06:00:05+00:00,2020-05-07,English,FCA,3588294,,,markdown/3i-group-plc/10-k_2020-05-07_10910330.md,FTSE 350,Main Market,Finance,Finance,6432,Activities of non-money market investments funds,Activities of non-money market investments funds
10982568,3i Group PLC,3i-group-plc,III,35GDVHRBMFE7NWATNM84,10-K,Annual Report,2021-05-11T06:00:04+00:00,2021-05-11,English,FCA,3969838,,,markdown/3i-group-plc/10-k_2021-05-11_10982568.md,FTSE 350,Main Market,Finance,Finance,6432,Activities of non-money market investments funds,Activities of non-money market investments funds
10984874,3i Group PLC,3i-group-plc,III,35GDVHRBMFE7NWATNM84,10-K,Annual Report,2021-05-19T08:07:45.672000+00:00,2021-05-19,English,FCA,NI-000026005-0,,,markdown/3i-group-plc/10-k_2021-05-19_10984874.md,FTSE 350,Main Market,Finance,Finance,6432,Activities of non-money market investments funds,Activities of non-money market investments funds
1336098,3i Group PLC,3i-group-plc,III,35GDVHRBMFE7NWATNM84,10-K,Annual Report,2021-05-19T10:50:58.402000+00:00,2021-05-19,English,FCA,NI-000026038-0,,,markdown/3i-group-plc/10-k_2021-05-19_1336098.md,FTSE 350,Main Market,Finance,Finance,6432,Activities of non-money market investments funds,Activities of non-money market investments funds
11085215,3i Group PLC,3i-group-plc,III,35GDVHRBMFE7NWATNM84,10-K,Annual Report,2022-05-10T06:00:04+00:00,2022-05-10,English,FCA,4363904,,,markdown/3i-group-plc/10-k_2022-05-10_11085215.md,FTSE 350,Main Market,Finance,Finance,6432,Activities of non-money market investments funds,Activities of non-money market investments funds
1635736,3i Group PLC,3i-group-plc,III,35GDVHRBMFE7NWATNM84,10-K,Annual Report,2022-05-18T16:28:44.849000+00:00,2022-05-18,English,FCA,,,,markdown/3i-group-plc/10-k_2022-05-18_1635736.md,FTSE 350,Main Market,Finance,Finance,6432,Activities of non-money market investments funds,Activities of non-money market investments funds
11174682,3i Group PLC,3i-group-plc,III,35GDVHRBMFE7NWATNM84,10-K,Annual Report,2023-05-10T06:00:08+00:00,2023-05-10,English,FCA,4763916,,,markdown/3i-group-plc/10-k_2023-05-10_11174682.md,FTSE 350,Main Market,Finance,Finance,6432,Activities of non-money market investments funds,Activities of non-money market investments funds
11174723,3i Group PLC,3i-group-plc,III,35GDVHRBMFE7NWATNM84,10-K,Annual Report,2023-05-10T07:50:37.184000+00:00,2023-05-10,English,FCA,NI-000074885-0,,,markdown/3i-group-plc/10-k_2023-05-10_11174723.md,FTSE 350,Main Market,Finance,Finance,6432,Activities of non-money market investments funds,Activities of non-money market investments funds
1884903,3i Group PLC,3i-group-plc,III,35GDVHRBMFE7NWATNM84,10-K,Annual Report,2023-05-11T06:00:04+00:00,2023-05-11,English,FCA,4765512,,,markdown/3i-group-plc/10-k_2023-05-11_1884903.md,FTSE 350,Main Market,Finance,Finance,6432,Activities of non-money market investments funds,Activities of non-money market investments funds
1887734,3i Group PLC,3i-group-plc,III,35GDVHRBMFE7NWATNM84,10-K-ESEF,Annual Report (ESEF),2023-05-18T08:21:33.794000+00:00,2023-05-18,English,FCA,NI-000075018-0,,,markdown/3i-group-plc/10-k-esef_2023-05-18_1887734.md,FTSE 350,Main Market,Finance,Finance,6432,Activities of non-money market investments funds,Activities of non-money market investments funds
11248889,3i Group PLC,3i-group-plc,III,35GDVHRBMFE7NWATNM84,10-K,Annual Report,2024-05-08T06:00:07+00:00,2024-05-08,English,FCA,5172970,,,markdown/3i-group-plc/10-k_2024-05-08_11248889.md,FTSE 350,Main Market,Finance,Finance,6432,Activities of non-money market investments funds,Activities of non-money market investments funds
11248966,3i Group PLC,3i-group-plc,III,35GDVHRBMFE7NWATNM84,10-K,Annual Report,2024-05-08T08:14:53.538000+00:00,2024-05-08,English,FCA,NI-000096093-0,,,markdown/3i-group-plc/10-k_2024-05-08_11248966.md,FTSE 350,Main Market,Finance,Finance,6432,Activities of non-money market investments funds,Activities of non-money market investments funds
2034468,3i Group PLC,3i-group-plc,III,35GDVHRBMFE7NWATNM84,10-K-ESEF,Annual Report (ESEF),2024-05-16T07:26:39.049000+00:00,2024-05-16,English,FCA,NI-000096908-0,,,markdown/3i-group-plc/10-k-esef_2024-05-16_2034468.md,FTSE 350,Main Market,Finance,Finance,6432,Activities of non-money market investments funds,Activities of non-money market investments funds
11351636,3i Group PLC,3i-group-plc,III,35GDVHRBMFE7NWATNM84,10-K,Annual Report,2025-05-08T06:00:08+00:00,2025-05-08,English,FCA,5645289,,,markdown/3i-group-plc/10-k_2025-05-08_11351636.md,FTSE 350,Main Market,Finance,Finance,6432,Activities of non-money market investments funds,Activities of non-money market investments funds
