id,lei,name,ticker,country_code,market_segment,stock_indices,listed_exchanges,date_ipo,is_listed
4732,35GDVHRBMFE7NWATNM84,3i Group PLC,III,GB,FTSE 350,FTSE 100|FTSE 250|STOXX Europe 600,London Stock Exchange,1994-07-18,True
4616,213800G95T751RN2CT94,4imprint Group PLC,FOUR,GB,FTSE 350,FTSE 250,London Stock Exchange,1953-03-13,True
5124,213800GZ9WC73A92Q326,Aberforth Smaller Companies Trust plc,ASL,GB,FTSE 350,FTSE 250,London Stock Exchange,2000-01-01,True
4853,0TMBS544NMO7GLCE7H90,Abrdn PLC,ABDN,GB,FTSE 350,FTSE 100|STOXX Europe 600,London Stock Exchange,2006-07-10,True
5127,2138004MK7VPTZ99EV13,abrdn Private Equity Opportunities Trust plc,APEO,GB,FTSE 350,FTSE 250,London Stock Exchange,2000-01-01,True
5227,213800FGVM7Z9EJB2685,Admiral Group PLC,ADM,GB,FTSE 350,FTSE 100|STOXX Europe 600,London Stock Exchange,2004-09-28,True
5228,254900ZNZDQL6OWQH623,Airtel Africa PLC,AAF,GB,FTSE 350,FTSE 100,London Stock Exchange,2019-06-28,True
5014,213800VNKA7DPWXWJJ36,AJ Bell PLC,AJB,GB,FTSE 350,FTSE 250,London Stock Exchange,2018-12-07,True
4604,213800SZZD4E2IOZ9W55,Alliance Trust PLC,ATST,GB,FTSE 350,FTSE 250,London Stock Exchange,1947-07-17,True
4747,549300OMDPMJU23SSH75,Allianz Technology Trust PLC,ATT,GB,FTSE 350,FTSE 250,London Stock Exchange,1995-12-04,True
4786,549300S9XF92D1X8ME43,Anglo American PLC,NGLB,GB,FTSE 350,FTSE 100|STOXX Europe 600,Johannesburg Stock Exchange Limited|London Stock Exchange,1999-05-24,True
4674,213800MY6QVH4FVLD628,Antofagasta PLC,FG1,GB,FTSE 350,FTSE 100|STOXX Europe 600,London Stock Exchange,1982-07-05,True
4945,213800VDXQDA7KD2IQ21,Ascential PLC,ASCL,GB,FTSE 350,FTSE 250,London Stock Exchange,2016-02-09,True
