Company,Ticker,Sector,Index
3i,III,Financial Services,FTSE 100
Admiral Group,ADM,Insurance,FTSE 100
Airtel Africa,AAF,Telecommunications Services,FTSE 100
Alliance Witan,ALW,Investment Trusts,FTSE 100
Anglo American plc,AAL,Mining,FTSE 100
Antofagasta plc,ANTO,Mining,FTSE 100
Associated British Foods,ABF,Food & Tobacco,FTSE 100
AstraZeneca,AZN,Pharmaceuticals & Biotechnology,FTSE 100
Autotrader Group,AUTO,Media,FTSE 100
Aviva,AV,Life Insurance,FTSE 100
Babcock International,BAB,Aerospace & Defence,FTSE 100
BAE Systems,BA,Aerospace & Defence,FTSE 100
Barclays,BARC,Banks,FTSE 100
Barratt Redrow,BTRW,Household Goods & Home Construction,FTSE 100
Beazley,BEZ,Insurance,FTSE 100
Berkeley Group Holdings,BKG,Household Goods & Home Construction,FTSE 100
BP,BP,Oil & Gas Producers,FTSE 100
British American Tobacco,BATS,Tobacco,FTSE 100
British Land,BLND,Real Estate,FTSE 100
BT Group,BT-A,Telecommunications Services,FTSE 100
Bunzl,BNZL,Support Services,FTSE 100
Burberry Group,BRBY,Personal Goods,FTSE 100
Centrica,CNA,Multiline Utilities,FTSE 100
Coca-Cola Europacific Partners,CCEP,Beverages,FTSE 100
Coca-Cola HBC,CCH,Beverages,FTSE 100
Compass Group,CPG,Support Services,FTSE 100
Convatec,CTEC,Health Care Equipment & Supplies,FTSE 100
Croda International,CRDA,Chemicals,FTSE 100
DCC plc,DCC,Support Services,FTSE 100
Diageo,DGE,Beverages,FTSE 100
Diploma,DPLM,Industrial Support Services,FTSE 100
Endeavour Mining,EDV,Precious Metals and Mining,FTSE 100
Entain,ENT,Travel & Leisure,FTSE 100
EasyJet,EZJ,Travel & Leisure,FTSE 100
Experian,EXPN,Support Services,FTSE 100
F & C Investment Trust,FCIT,Collective Investments,FTSE 100
Fresnillo plc,FRES,Mining,FTSE 100
Games Workshop,GAW,Leisure Goods,FTSE 100
Glencore,GLEN,Mining,FTSE 100
GSK plc,GSK,Pharmaceuticals & Biotechnology,FTSE 100
Haleon,HLN,Pharmaceuticals & Biotechnology,FTSE 100
Halma plc,HLMA,Electronic Equipment & Parts,FTSE 100
Hikma Pharmaceuticals,HIK,Pharmaceuticals & Biotechnology,FTSE 100
Hiscox,HSX,Non-Life Insurance,FTSE 100
Howdens Joinery,HWDN,Homebuilding & Construction Supplies,FTSE 100
HSBC,HSBA,Banks,FTSE 100
ICG,ICG,Financial Services,FTSE 100
IHG Hotels & Resorts,IHG,Travel & Leisure,FTSE 100
IMI,IMI,Industrial Engineering,FTSE 100
Imperial Brands,IMB,Tobacco,FTSE 100
Informa,INF,Media,FTSE 100
International Airlines Group,IAG,Travel & Leisure,FTSE 100
Intertek,ITRK,Support Services,FTSE 100
JD Sports,JD,General Retailers,FTSE 100
Kingfisher plc,KGF,Retailers,FTSE 100
Land Securities,LAND,Real Estate Investment Trusts,FTSE 100
Legal & General,LGEN,Life Insurance,FTSE 100
Lloyds Banking Group,LLOY,Banks,FTSE 100
LondonMetric Property,LMP,Real Estate Investment Trusts,FTSE 100
London Stock Exchange Group,LSEG,Financial Services,FTSE 100
M&G,MNG,Financial Services,FTSE 100
Marks & Spencer,MKS,Food & Drug Retailing,FTSE 100
Melrose Industries,MRO,Aerospace & Defence,FTSE 100
Metlen Energy & Metals,MTLN,Multiline Utilities,FTSE 100
Mondi,MNDI,Containers & Packaging,FTSE 100
National Grid plc,NG,Multiline Utilities,FTSE 100
NatWest Group,NWG,Banks,FTSE 100
Next plc,NXT,General Retailers,FTSE 100
Pearson plc,PSON,Media,FTSE 100
Pershing Square Holdings,PSH,Financial Services,FTSE 100
Persimmon,PSN,Household Goods & Home Construction,FTSE 100
Phoenix Group,PHNX,Life Insurance,FTSE 100
Polar Capital Technology Trust,PCT,Investment Trusts,FTSE 100
Prudential plc,PRU,Life Insurance,FTSE 100
Reckitt,RKT,Household Goods & Home Construction,FTSE 100
RELX,REL,Media,FTSE 100
Rentokil Initial,RTO,Support Services,FTSE 100
Rightmove,RMV,Media,FTSE 100
Rio Tinto,RIO,Mining,FTSE 100
Rolls-Royce Holdings,RR,Aerospace & Defence,FTSE 100
Sage Group,SGE,Software & Computer Services,FTSE 100
Sainsbury's,SBRY,Food & Drug Retailing,FTSE 100
Schroders,SDR,Financial Services,FTSE 100
Scottish Mortgage Investment Trust,SMT,Collective Investments,FTSE 100
Segro,SGRO,Real Estate Investment Trusts,FTSE 100
Severn Trent,SVT,Multiline Utilities,FTSE 100
Shell plc,SHEL,Oil & Gas Producers,FTSE 100
Smiths Group,SMIN,General Industrials,FTSE 100
Smith & Nephew,SN,Health Care Equipment & Supplies,FTSE 100
Spirax Group,SPX,Industrial Engineering,FTSE 100
SSE plc,SSE,Electrical Utilities & Independent Power Producers,FTSE 100
Standard Chartered,STAN,Banks,FTSE 100
St. James's Place,STJ,Financial Services,FTSE 100
Tesco,TSCO,Food & Drug Retailing,FTSE 100
Tritax Big Box REIT,BBOX,Real Estate Investment Trusts,FTSE 100
Unilever,ULVR,Personal Goods,FTSE 100
United Utilities,UU,Multiline Utilities,FTSE 100
Vodafone Group,VOD,Mobile Telecommunications,FTSE 100
Weir Group,WEIR,Industrial Goods and Services,FTSE 100
Whitbread,WTB,Retail Hospitality,FTSE 100
3i Infrastructure,3IN,Financial Services,FTSE 250
4imprint,FOUR,Media,FTSE 250
Aberdeen Asia Focus,AAS,Investment Trusts,FTSE 250
abrdn,ABDN,Financial Services,FTSE 250
Aberforth Smaller Companies Trust,ASL,Investment Trusts,FTSE 250
AEP Plantations,AEP,Food Producers,FTSE 250
Alfa Financial Software,ALFA,Software and Computer Services,FTSE 250
Allianz Technology Trust,ATT,Investment Trusts,FTSE 250
AO World,AO,Retail,FTSE 250
Applied Nutrition,APN,Food Producers,FTSE 250
Ashmore Group,ASHM,Financial Services,FTSE 250
Ashoka India Equity Investment Trust,AIE,Investment Trusts,FTSE 250
Aston Martin Lagonda,AML,Automobiles & Parts,FTSE 250
Atalaya Mining,ATYM,Industrial Metals and Mining,FTSE 250
AVI Global Trust,AGT,Investment Trusts,FTSE 250
Avon Technologies,AVON,Industrial Goods and Services,FTSE 250
B&M,BME,Retailers,FTSE 250
Baillie Gifford Japan Trust,BGFD,Investment Trusts,FTSE 250
Baillie Gifford US Growth Trust,USA,Investment Trusts,FTSE 250
Balfour Beatty,BBY,Construction & Materials,FTSE 250
Baltic Classifieds,BCG,Consumer Digital Services,FTSE 250
Bankers Investment Trust,BNKR,Investment Trusts,FTSE 250
A.G. Barr,BAG,Beverages,FTSE 250
AJ Bell,AJB,Financial Services,FTSE 250
Bellway,BWY,Home Construction,FTSE 250
BH Macro,BHMG,Hedge Funds,FTSE 250
