Company,Ticker,Sector,Index,fr_id,fr_name,fr_ticker
3i,III,Financial Services,FTSE 100,4732,3i Group PLC,
Admiral Group,ADM,Insurance,FTSE 100,5227,Admiral Group PLC,
Airtel Africa,AAF,Telecommunications Services,FTSE 100,5228,Airtel Africa PLC,
Anglo American plc,AAL,Mining,FTSE 100,4786,Anglo American PLC,
Antofagasta plc,ANTO,Mining,FTSE 100,4674,Antofagasta PLC,
Associated British Foods,ABF,Food & Tobacco,FTSE 100,4733,Associated British Foods PLC,
AstraZeneca,AZN,Pharmaceuticals & Biotechnology,FTSE 100,5229,AstraZeneca PLC,
Autotrader Group,AUTO,Media,FTSE 100,4929,Auto Trader Group PLC,
Aviva,AV,Life Insurance,FTSE 100,4708,Aviva PLC,
Babcock International,BAB,Aerospace & Defence,FTSE 100,4702,Babcock International Group PLC,
BAE Systems,BA,Aerospace & Defence,FTSE 100,4670,BAE Systems PLC,
Barclays,BARC,Banks,FTSE 100,5250,Barclays PLC,
Beazley,BEZ,Insurance,FTSE 100,4823,Beazley PLC,
Berkeley Group Holdings,BKG,Household Goods & Home Construction,FTSE 100,4688,Berkeley Group Holdings PLC,
BP,BP,Oil & Gas Producers,FTSE 100,4622,BP PLC,
British American Tobacco,BATS,Tobacco,FTSE 100,4637,British American Tobacco PLC,
British Land,BLND,Real Estate,FTSE 100,5364,British Land Co PLC,
BT Group,BT-A,Telecommunications Services,FTSE 100,4681,BT Group PLC,
Bunzl,BNZL,Support Services,FTSE 100,4627,Bunzl PLC,
Burberry Group,BRBY,Personal Goods,FTSE 100,4822,Burberry Group PLC,
Centrica,CNA,Multiline Utilities,FTSE 100,5292,Centrica PLC,
Coca-Cola Europacific Partners,CCEP,Beverages,FTSE 100,5018,COCA-COLA EUROPACIFIC PARTNERS PLC,
Compass Group,CPG,Support Services,FTSE 100,4807,Compass Group PLC,
Convatec,CTEC,Health Care Equipment & Supplies,FTSE 100,4959,Convatec Group PLC,
Croda International,CRDA,Chemicals,FTSE 100,4641,Croda International PLC,
Diageo,DGE,Beverages,FTSE 100,5249,Diageo PLC,
Diploma,DPLM,Industrial Support Services,FTSE 100,5254,Diploma PLC,
Endeavour Mining,EDV,Precious Metals and Mining,FTSE 100,5068,Endeavour Mining PLC,
EasyJet,EZJ,Travel & Leisure,FTSE 100,5295,Easyjet PLC,
F & C Investment Trust,FCIT,Collective Investments,FTSE 100,4615,F&C Investment Trust PLC,
Games Workshop,GAW,Leisure Goods,FTSE 100,4735,Games Workshop Group PLC,
Glencore,GLEN,Mining,FTSE 100,6185,Glencore PLC,
Haleon,HLN,Pharmaceuticals & Biotechnology,FTSE 100,5111,Haleon PLC,
Halma plc,HLMA,Electronic Equipment & Parts,FTSE 100,5261,Halma PLC,
Hikma Pharmaceuticals,HIK,Pharmaceuticals & Biotechnology,FTSE 100,4841,HIKMA Pharmaceuticals PLC,
HSBC,HSBA,Banks,FTSE 100,5161,HSBC Holdings PLC,
ICG,ICG,Financial Services,FTSE 100,4671,ICG Enterprise Trust PLC,
IMI,IMI,Industrial Engineering,FTSE 100,5257,IMI PLC,
Imperial Brands,IMB,Tobacco,FTSE 100,4759,Imperial Brands PLC,
Informa,INF,Media,FTSE 100,4915,Informa PLC,
Intertek,ITRK,Support Services,FTSE 100,4819,Intertek Group PLC,
JD Sports,JD,General Retailers,FTSE 100,5291,JD Sports Fashion PLC,
Kingfisher plc,KGF,Retailers,FTSE 100,4675,Kingfisher PLC,
Land Securities,LAND,Real Estate Investment Trusts,FTSE 100,4626,Land Securities Group PLC,
Legal & General,LGEN,Life Insurance,FTSE 100,5266,Legal & General Group PLC,
Lloyds Banking Group,LLOY,Banks,FTSE 100,4691,Lloyds Banking Group PLC,
LondonMetric Property,LMP,Real Estate Investment Trusts,FTSE 100,5318,Londonmetric Property PLC,
London Stock Exchange Group,LSEG,Financial Services,FTSE 100,5297,London Stock Exchange Group PLC,
M&G,MNG,Financial Services,FTSE 100,5031,M&G PLC,
Marks & Spencer,MKS,Food & Drug Retailing,FTSE 100,5232,Marks & Spencer Group PLC,
Melrose Industries,MRO,Aerospace & Defence,FTSE 100,5335,Melrose Industries PLC,
Metlen Energy & Metals,MTLN,Multiline Utilities,FTSE 100,35677,Metlen Energy & Metals PLC,
Mondi,MNDI,Containers & Packaging,FTSE 100,5312,Mondi PLC,
National Grid plc,NG,Multiline Utilities,FTSE 100,4816,National Grid PLC,
NatWest Group,NWG,Banks,FTSE 100,4644,Natwest Group PLC,
Next plc,NXT,General Retailers,FTSE 100,4824,Next PLC,
Pearson plc,PSON,Media,FTSE 100,5260,Pearson PLC,
Persimmon,PSN,Household Goods & Home Construction,FTSE 100,4683,Persimmon PLC,
Phoenix Group,PHNX,Life Insurance,FTSE 100,10540,Phoenix Copper Limited,
Polar Capital Technology Trust,PCT,Investment Trusts,FTSE 100,4762,Polar Capital Technology Trust PLC,
Prudential plc,PRU,Life Insurance,FTSE 100,4668,Prudential PLC,
Reckitt,RKT,Household Goods & Home Construction,FTSE 100,4872,Reckitt Benckiser Group PLC,
RELX,REL,Media,FTSE 100,5248,Relx PLC,
Rentokil Initial,RTO,Support Services,FTSE 100,5305,Rentokil Initial PLC,
Rightmove,RMV,Media,FTSE 100,5308,Rightmove PLC,
Rio Tinto,RIO,Mining,FTSE 100,4666,Rio Tinto PLC,
Rolls-Royce Holdings,RR,Aerospace & Defence,FTSE 100,5271,Rolls-Royce Holdings PLC,
Sage Group,SGE,Software & Computer Services,FTSE 100,5322,Sage Group PLC,
Schroders,SDR,Financial Services,FTSE 100,5253,Schroders PLC,
Scottish Mortgage Investment Trust,SMT,Collective Investments,FTSE 100,5202,Scottish Mortgage Investment Trust PLC,
Segro,SGRO,Real Estate Investment Trusts,FTSE 100,4612,Segro PLC,
Severn Trent,SVT,Multiline Utilities,FTSE 100,4706,Severn Trent PLC,
Shell plc,SHEL,Oil & Gas Producers,FTSE 100,5307,Shell PLC,
Smiths Group,SMIN,General Industrials,FTSE 100,4613,Smiths Group PLC,
Smith & Nephew,SN,Health Care Equipment & Supplies,FTSE 100,4588,Smith & Nephew PLC,
Spirax Group,SPX,Industrial Engineering,FTSE 100,5321,Spirax-Sarco Engineering PLC,
SSE plc,SSE,Electrical Utilities & Independent Power Producers,FTSE 100,4710,SSE PLC,
Standard Chartered,STAN,Banks,FTSE 100,4648,Standard Chartered PLC,
St. James's Place,STJ,Financial Services,FTSE 100,5242,St. James's Place PLC,
Tesco,TSCO,Food & Drug Retailing,FTSE 100,4605,Tesco PLC,
Tritax Big Box REIT,BBOX,Real Estate Investment Trusts,FTSE 100,4906,Tritax Big Box REIT PLC,
Unilever,ULVR,Personal Goods,FTSE 100,4591,Unilever PLC,
United Utilities,UU,Multiline Utilities,FTSE 100,4878,United Utilities Group PLC,
Vodafone Group,VOD,Mobile Telecommunications,FTSE 100,5275,Vodafone Group PLC,
Weir Group,WEIR,Industrial Goods and Services,FTSE 100,5246,Weir Group Inc.,
Whitbread,WTB,Retail Hospitality,FTSE 100,4608,Whitbread PLC,
4imprint,FOUR,Media,FTSE 250,4616,4imprint Group PLC,
abrdn,ABDN,Financial Services,FTSE 250,4853,Abrdn PLC,
Aberforth Smaller Companies Trust,ASL,Investment Trusts,FTSE 250,5124,Aberforth Smaller Companies Trust plc,
Alfa Financial Software,ALFA,Software and Computer Services,FTSE 250,5129,ALFA FINANCIAL SOFTWARE HOLDINGS PL,
Allianz Technology Trust,ATT,Investment Trusts,FTSE 250,4747,Allianz Technology Trust PLC,
AO World,AO,Retail,FTSE 250,4907,AO WORLD PLC,
Applied Nutrition,APN,Food Producers,FTSE 250,9366,APPLIED NUTRITION PLC,
Ashmore Group,ASHM,Financial Services,FTSE 250,4855,Ashmore Group PLC,
Ashoka India Equity Investment Trust,AIE,Investment Trusts,FTSE 250,5130,ASHOKA INDIA EQUITY INVESTMENT TRUST,
