Company,Ticker,Sector,Index,fr_id,match_method,fr_id,match_method
3i,III,Financial Services,FTSE 100,found_in_meta,meta_ticker,found_in_meta,meta_ticker
Admiral Group,ADM,Insurance,FTSE 100,found_in_meta,meta_ticker,found_in_meta,meta_ticker
Airtel Africa,AAF,Telecommunications Services,FTSE 100,found_in_meta,meta_ticker,found_in_meta,meta_ticker
Alliance Witan,ALW,Investment Trusts,FTSE 100,4604,manual,4604,manual
Anglo American plc,AAL,Mining,FTSE 100,4786,api_name,4786,api_name
Antofagasta plc,ANTO,Mining,FTSE 100,4674,api_name,4674,api_name
Associated British Foods,ABF,Food & Tobacco,FTSE 100,found_in_meta,meta_ticker,found_in_meta,meta_ticker
AstraZeneca,AZN,Pharmaceuticals & Biotechnology,FTSE 100,found_in_meta,meta_ticker,found_in_meta,meta_ticker
Autotrader Group,AUTO,Media,FTSE 100,found_in_meta,meta_ticker,found_in_meta,meta_ticker
Aviva,AV,Life Insurance,FTSE 100,found_in_meta,meta_ticker,found_in_meta,meta_ticker
Babcock International,BAB,Aerospace & Defence,FTSE 100,found_in_meta,meta_ticker,found_in_meta,meta_ticker
BAE Systems,BA,Aerospace & Defence,FTSE 100,4670,api_name,4670,api_name
Barclays,BARC,Banks,FTSE 100,found_in_meta,meta_ticker,found_in_meta,meta_ticker
Barratt Redrow,BTRW,Household Goods & Home Construction,FTSE 100,4610,manual,4610,manual
Beazley,BEZ,Insurance,FTSE 100,found_in_meta,meta_ticker,found_in_meta,meta_ticker
Berkeley Group Holdings,BKG,Household Goods & Home Construction,FTSE 100,found_in_meta,meta_ticker,found_in_meta,meta_ticker
BP,BP,Oil & Gas Producers,FTSE 100,found_in_meta,meta_ticker,found_in_meta,meta_ticker
British American Tobacco,BATS,Tobacco,FTSE 100,found_in_meta,meta_ticker,found_in_meta,meta_ticker
British Land,BLND,Real Estate,FTSE 100,found_in_meta,meta_ticker,found_in_meta,meta_ticker
BT Group,BT-A,Telecommunications Services,FTSE 100,found_in_meta,meta_ticker,found_in_meta,meta_ticker
Bunzl,BNZL,Support Services,FTSE 100,found_in_meta,meta_ticker,found_in_meta,meta_ticker
Burberry Group,BRBY,Personal Goods,FTSE 100,found_in_meta,meta_ticker,found_in_meta,meta_ticker
Centrica,CNA,Multiline Utilities,FTSE 100,found_in_meta,meta_ticker,found_in_meta,meta_ticker
Coca-Cola Europacific Partners,CCEP,Beverages,FTSE 100,found_in_meta,meta_ticker,found_in_meta,meta_ticker
Compass Group,CPG,Support Services,FTSE 100,found_in_meta,meta_ticker,found_in_meta,meta_ticker
